description,category
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/910518479851/ZEPTO,Groceries
POS DEBIT 982950693751 INDIANRAILWAYS,Travel & Transport
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/477761520951/UDEMY,Education
POS DEBIT 209972742659 PVRCINEMAS,Entertainment
UPI/P2M/567618551679/MYNTRA,Shopping
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 706465535443 UNIVERSITYFEES,Education
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/776596835097/ZOMATO,Food & Drinks
UPI/P2M/878807020458/AMAZON,Shopping
POS DEBIT 975811842169 UNIVERSITYFEES,Education
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/178186943025/SWIGGY,Food & Drinks
POS DEBIT 666062064444 THEBEERCAFE,Food & Drinks
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 360827913422 BANKCHARGES,Miscellaneous
UPI/P2M/801286743271/JIOMART,Groceries
UPI/P2M/490792603411/ZARA,Shopping
NEFT CR-284489814800-RENTAL INCOME,Income
UPI/P2M/348104306779/ZOMATO,Food & Drinks
POS DEBIT 354071588399 PRIMEVIDEO,Entertainment
UPI/P2M/881665141485/MYNTRA,Shopping
POS DEBIT 758887972577 UNIVERSITYFEES,Education
UPI/P2M/173372254340/UPSTOX,Investments
UPI/P2M/820089874555/SWIGGY,Food & Drinks
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 598946564620 DOMINOSPIZZA,Food & Drinks
POS DEBIT 702512662529 LOCALGYM,Health & Fitness
POS DEBIT 819946356915 UNIVERSITYFEES,Education
NEFT CR-226196207403-FREELANCE PAYMENT,Income
NEFT CR-843111683077-SALARY CREDIT,Income
UPI/P2M/322559268534/ZERODHA,Investments
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/613799765268/UDEMY,Education
UPI/P2M/936787786105/COURSERA,Education
NEFT CR-186560904036-FREELANCE PAYMENT,Income
POS DEBIT 436866248141 REDBUS,Travel & Transport
POS DEBIT 706500824261 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 400902377307 OLACABS,Travel & Transport
POS DEBIT 423724190737 MUTUALFUNDSIP,Investments
NEFT CR-632573743084-SALARY CREDIT,Income
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/783647691660/STARBUCKS,Food & Drinks
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/146226225395/AIRTEL,Bills & Utilities
POS DEBIT 892873264565 CASHWITHDRAWAL,Withdrawals
POS DEBIT 613853688438 REDBUS,Travel & Transport
UPI/P2M/320630687149/JIOMART,Groceries
NEFT CR-899048689704-RENTAL INCOME,Income
POS DEBIT 147869499017 APOLLOPHARMACY,Health & Fitness
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 981325209619 MISCPURCHASE,Miscellaneous
UPI/P2M/387785759641/UDEMY,Education
UPI/P2M/441647854513/ZEPTO,Groceries
POS DEBIT 766965005397 UNIVERSITYFEES,Education
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/645108429736/UDEMY,Education
UPI/P2M/734107884666/NETFLIX.COM,Entertainment
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/377069012124/ZERODHA,Investments
NEFT CR-714344149269-FREELANCE PAYMENT,Income
UPI/P2M/110460498322/NETFLIX.COM,Entertainment
POS DEBIT 750348658203 PRIMEVIDEO,Entertainment
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/765351365042/JIOMART,Groceries
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
NEFT CR-939641916581-SALARY CREDIT,Income
UPI/P2M/629981821708/GROWW,Investments
UPI/P2M/954287554170/GROWW,Investments
POS DEBIT 546126137321 PRIMEVIDEO,Entertainment
UPI/P2M/653968735489/SWIGGY,Food & Drinks
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 402442916585 CASHWITHDRAWAL,Withdrawals
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 890314688383 CASHWITHDRAWAL,Withdrawals
POS DEBIT 894913088240 UNIVERSITYFEES,Education
POS DEBIT 267413443254 PRIMEVIDEO,Entertainment
POS DEBIT 268866820073 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/321877325505/MAKEMYTRIP,Travel & Transport
POS DEBIT 474182196934 REDBUS,Travel & Transport
UPI/P2M/063130916607/ZOMATO,Food & Drinks
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 446250139923 PVRCINEMAS,Entertainment
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/564056536680/FLIPKART,Shopping
NEFT CR-664353087974-FREELANCE PAYMENT,Income
NEFT CR-853713803622-RENTAL INCOME,Income
NEFT CR-737373153243-RENTAL INCOME,Income
UPI/P2M/803292726037/COURSERA,Education
UPI/P2M/289791396602/UDEMY,Education
UPI/P2M/685373032785/MYPROTEIN,Health & Fitness
UPI/P2M/013913237104/GIFT,Miscellaneous
NEFT CR-594319106267-FREELANCE PAYMENT,Income
POS DEBIT 798907676927 CULTFIT,Health & Fitness
POS DEBIT 479859711258 LOCALSUPERMARKET,Groceries
POS DEBIT 998213576964 UNIVERSITYFEES,Education
UPI/P2M/459884100951/UPSTOX,Investments
POS DEBIT 746228275576 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/660539500541/ZEPTO,Groceries
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 702252639739 INDIANRAILWAYS,Travel & Transport
POS DEBIT 808562099126 CASHWITHDRAWAL,Miscellaneous
UPI/P2M/241704728669/MYPROTEIN,Health & Fitness
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 769300182723 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/508432996690/ZARA,Shopping
UPI/P2M/759344355168/JIOMART,Groceries
POS DEBIT 228436962064 DOMINOSPIZZA,Food & Drinks
UPI/P2M/415489760479/GIFT,Miscellaneous
POS DEBIT 249131931403 LOCALGYM,Health & Fitness
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/368508436772/BIGBASKET,Groceries
UPI/P2M/428363386320/AMAZON,Shopping
UPI/P2M/146885623697/ZARA,Shopping
POS DEBIT 156237728205 CASHWITHDRAWAL,Withdrawals
UPI/P2M/688657610911/MYPROTEIN,Health & Fitness
UPI/P2M/643528091444/H&M,Shopping
NEFT CR-515128618681-RENTAL INCOME,Income
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 269111714365 CASHWITHDRAWAL,Withdrawals
POS DEBIT 574622477834 PRIMEVIDEO,Entertainment
POS DEBIT 379774277268 CASHWITHDRAWAL,Withdrawals
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/441695394911/JIOMART,Groceries
UPI/P2M/647050584904/AIRTEL,Bills & Utilities
UPI/P2M/890851943257/ZERODHA,Investments
POS DEBIT 403333839659 LOCALGYM,Health & Fitness
UPI/P2M/210370541124/GOIBIBO,Travel & Transport
UPI/P2M/708460891783/BOOKMYSHOW,Entertainment
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 766282786857 OLACABS,Travel & Transport
POS DEBIT 675860758936 REDBUS,Travel & Transport
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 896448399299 UNIVERSITYFEES,Education
POS DEBIT 424404427434 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/350461882275/MYNTRA,Shopping
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/896956991708/UDEMY,Education
UPI/P2M/512785360297/BIGBASKET,Groceries
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 898039618946 PVRCINEMAS,Entertainment
POS DEBIT 228895750539 UNIVERSITYFEES,Education
UPI/P2M/208558819322/ZARA,Shopping
UPI/P2M/663254681239/BOOKMYSHOW,Entertainment
POS DEBIT 339853401748 RELIANCEDIGITAL,Shopping
POS DEBIT 166090645013 REDBUS,Travel & Transport
UPI/P2M/278014622626/COURSERA,Education
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 340051414758 CULTFIT,Health & Fitness
NEFT CR-652659694275-FREELANCE PAYMENT,Income
POS DEBIT 680649080833 CULTFIT,Health & Fitness
NEFT CR-395089082562-FREELANCE PAYMENT,Income
UPI/P2M/400441703364/STARBUCKS,Food & Drinks
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
POS DEBIT 792869778931 PRIMEVIDEO,Entertainment
POS DEBIT 332865955611 INDIANRAILWAYS,Travel & Transport
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/722564237142/UDEMY,Education
POS DEBIT 826827355200 LOCALGYM,Health & Fitness
NEFT CR-693446315966-FREELANCE PAYMENT,Income
POS DEBIT 151452396857 MISCPURCHASE,Miscellaneous
POS DEBIT 528833963845 THEBEERCAFE,Food & Drinks
POS DEBIT 983268166430 APOLLOPHARMACY,Health & Fitness
POS DEBIT 412824962074 CASHWITHDRAWAL,Withdrawals
UPI/P2M/294822732971/JIOMART,Groceries
UPI/P2M/251140071433/ZERODHA,Investments
NEFT CR-124007178679-RENTAL INCOME,Income
POS DEBIT 933068862524 UNIVERSITYFEES,Education
POS DEBIT 173898425770 PVRCINEMAS,Entertainment
UPI/P2M/985083394207/JIOMART,Groceries
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/683535904869/FLIPKART,Shopping
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 488575502364 DOMINOSPIZZA,Food & Drinks
UPI/P2M/481526808568/ZOMATO,Food & Drinks
UPI/P2M/387133788613/UDEMY,Education
NEFT CR-181073066765-FREELANCE PAYMENT,Income
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 922674270403 APOLLOPHARMACY,Health & Fitness
POS DEBIT 298005447487 LOCALGYM,Health & Fitness
UPI/P2M/901268995843/BOOKMYSHOW,Entertainment
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/635277549791/GOIBIBO,Travel & Transport
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 357065505488 OLACABS,Travel & Transport
POS DEBIT 302317129218 RELIANCEDIGITAL,Shopping
UPI/P2M/153415034633/JIOMART,Groceries
POS DEBIT 619955121984 INDIANRAILWAYS,Travel & Transport
POS DEBIT 949786546277 PRIMEVIDEO,Entertainment
POS DEBIT 741404155086 PVRCINEMAS,Entertainment
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
NEFT CR-133373269742-SALARY CREDIT,Income
UPI/P2M/471859748596/MYNTRA,Shopping
POS DEBIT 362575091568 MUTUALFUNDSIP,Investments
UPI/P2M/398715206575/UDEMY,Education
UPI/P2M/682944839575/GROWW,Investments
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/917902957799/COURSERA,Education
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 468245758994 MUTUALFUNDSIP,Investments
UPI/P2M/841739216931/H&M,Shopping
POS DEBIT 253941359456 LOCALSUPERMARKET,Groceries
UPI/P2M/108151228257/MAKEMYTRIP,Travel & Transport
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
NEFT CR-783485028669-FREELANCE PAYMENT,Income
UPI/P2M/684740562925/MAKEMYTRIP,Travel & Transport
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 251802032738 LOCALGYM,Health & Fitness
NEFT CR-323884977870-RENTAL INCOME,Income
NEFT CR-988854892400-FREELANCE PAYMENT,Income
POS DEBIT 588641559998 APOLLOPHARMACY,Health & Fitness
UPI/P2M/555589681322/H&M,Shopping
POS DEBIT 927903838144 PRIMEVIDEO,Entertainment
UPI/P2M/644439003624/BOOKMYSHOW,Entertainment
POS DEBIT 217540893127 DOMINOSPIZZA,Food & Drinks
UPI/P2M/596082550359/MYPROTEIN,Health & Fitness
UPI/P2M/229830952923/H&M,Shopping
UPI/P2M/437973754456/GROWW,Investments
POS DEBIT 894553283678 PVRCINEMAS,Entertainment
POS DEBIT 233352823277 LOCALSUPERMARKET,Groceries
UPI/P2M/685587442107/JIOMART,Groceries
NEFT CR-947717517285-SALARY CREDIT,Income
POS DEBIT 196921649699 UNIVERSITYFEES,Education
POS DEBIT 485535393482 INDIANRAILWAYS,Travel & Transport
NEFT CR-383364465519-FREELANCE PAYMENT,Income
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/605975102789/MYPROTEIN,Health & Fitness
UPI/P2M/386712182801/ZOMATO,Food & Drinks
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/106473093339/BIGBASKET,Groceries
UPI/P2M/910142151005/MAKEMYTRIP,Travel & Transport
UPI/P2M/323486065074/UDEMY,Education
POS DEBIT 172641110845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/308093263144/MAKEMYTRIP,Travel & Transport
UPI/P2M/879608799584/MYPROTEIN,Health & Fitness
UPI/P2M/481280942779/BOOKMYSHOW,Entertainment
UPI/P2M/602354335339/GOIBIBO,Travel & Transport
POS DEBIT 644456118509 MUTUALFUNDSIP,Investments
POS DEBIT 517751050022 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 472933143054 REDBUS,Travel & Transport
NEFT CR-415098239247-SALARY CREDIT,Income
POS DEBIT 798535620248 CULTFIT,Health & Fitness
UPI/P2M/454101770383/ZARA,Shopping
NEFT CR-813962289873-SALARY CREDIT,Income
POS DEBIT 155192987134 CULTFIT,Health & Fitness
UPI/P2M/851126521305/COURSERA,Education
POS DEBIT 892826934736 REDBUS,Travel & Transport
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
NEFT CR-921437451693-RENTAL INCOME,Income
POS DEBIT 462875774879 LOCALSUPERMARKET,Groceries
NEFT CR-213957573962-FREELANCE PAYMENT,Income
UPI/P2M/159000232888/STARBUCKS,Food & Drinks
POS DEBIT 586889306444 REDBUS,Travel & Transport
POS DEBIT 317071441576 CASHWITHDRAWAL,Withdrawals
POS DEBIT 598988446672 LOCALGYM,Health & Fitness
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/836822950344/AIRTEL,Bills & Utilities
UPI/P2M/226616813250/UDEMY,Education
POS DEBIT 400345125912 INDIANRAILWAYS,Travel & Transport
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/464818574778/UDEMY,Education
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/744441514392/FLIPKART,Shopping
UPI/P2M/660788557697/ZERODHA,Investments
UPI/P2M/416054465976/UDEMY,Education
UPI/P2M/580270814099/ZEPTO,Groceries
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/131539055673/BOOKMYSHOW,Entertainment
UPI/P2M/886317141956/ZEPTO,Groceries
POS DEBIT 405775573867 OLACABS,Travel & Transport
POS DEBIT 370088574811 APOLLOPHARMACY,Health & Fitness
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
NEFT CR-379236180656-RENTAL INCOME,Income
UPI/P2M/702400911487/STARBUCKS,Food & Drinks
POS DEBIT 184272454255 MUTUALFUNDSIP,Investments
UPI/P2M/256969853242/GROWW,Investments
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/115226310336/JIOMART,Groceries
UPI/P2M/815315722291/ZERODHA,Investments
NEFT CR-691559289693-SALARY CREDIT,Income
UPI/P2M/419760582110/GIFT,Miscellaneous
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/687803013225/BIGBASKET,Groceries
POS DEBIT 839657877032 MISCPURCHASE,Miscellaneous
POS DEBIT 975962815039 CASHWITHDRAWAL,Withdrawals
UPI/P2M/836306164031/COURSERA,Education
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 591233990406 APOLLOPHARMACY,Health & Fitness
POS DEBIT 686485131116 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/176248151286/GROWW,Investments
UPI/P2M/762226954294/ZOMATO,Food & Drinks
POS DEBIT 907624899133 CASHWITHDRAWAL,Withdrawals
UPI/P2M/920259897679/UDEMY,Education
UPI/P2M/967563668054/GROWW,Investments
POS DEBIT 774415292176 THEBEERCAFE,Food & Drinks
POS DEBIT 695828303843 DOMINOSPIZZA,Food & Drinks
UPI/P2M/646205604778/BOOKMYSHOW,Entertainment
POS DEBIT 776644423039 LOCALGYM,Health & Fitness
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/729486865710/BOOKMYSHOW,Entertainment
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/234523809888/MAKEMYTRIP,Travel & Transport
UPI/P2M/274471816870/GROWW,Investments
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/360556450803/ZERODHA,Investments
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 724040197594 UNIVERSITYFEES,Education
POS DEBIT 834845346720 CULTFIT,Health & Fitness
UPI/P2M/853789016893/ZEPTO,Groceries
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/623439622740/UPSTOX,Investments
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/188398148210/ZEPTO,Groceries
UPI/P2M/451618774454/JIOMART,Groceries
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/273584370592/NETFLIX.COM,Entertainment
UPI/P2M/746310406231/GOIBIBO,Travel & Transport
UPI/P2M/293500136350/GROWW,Investments
UPI/P2M/848604476779/GROWW,Investments
UPI/P2M/316886119886/GIFT,Miscellaneous
UPI/P2M/850267867381/ZOMATO,Food & Drinks
POS DEBIT 847981092850 CASHWITHDRAWAL,Withdrawals
NEFT CR-563852633351-RENTAL INCOME,Income
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/807681281874/ZOMATO,Food & Drinks
UPI/P2M/202102984937/ZERODHA,Investments
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
POS DEBIT 910134445834 CASHWITHDRAWAL,Withdrawals
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 425488190695 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/933962471924/ZEPTO,Groceries
UPI/P2M/969890421288/NETFLIX.COM,Entertainment
NEFT CR-860091698550-RENTAL INCOME,Income
POS DEBIT 834909935600 BANKCHARGES,Miscellaneous
NEFT CR-154208228053-FREELANCE PAYMENT,Income
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/890502468994/COURSERA,Education
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/754064796519/ZERODHA,Investments
POS DEBIT 513202162837 REDBUS,Travel & Transport
UPI/P2M/239677816799/GROWW,Investments
POS DEBIT 634336020375 THEBEERCAFE,Food & Drinks
UPI/P2M/438288591425/ZOMATO,Food & Drinks
POS DEBIT 825558712750 RELIANCEDIGITAL,Shopping
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/776596835097/ZOMATO,Food & Drinks
NEFT CR-398319475133-RENTAL INCOME,Income
UPI/P2M/995305071451/ZEPTO,Groceries
UPI/P2M/283031305737/SWIGGY,Food & Drinks
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 376671901779 DOMINOSPIZZA,Food & Drinks
UPI/P2M/784334416662/ZEPTO,Groceries
POS DEBIT 143205302405 MISCPURCHASE,Miscellaneous
UPI/P2M/916255214054/ZARA,Shopping
UPI/P2M/983986099268/ZERODHA,Investments
POS DEBIT 618751364470 REDBUS,Travel & Transport
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 569269411989 LOCALGYM,Health & Fitness
POS DEBIT 925148068156 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 654816752383 CASHWITHDRAWAL,Withdrawals
POS DEBIT 725173621416 LOCALSUPERMARKET,Groceries
POS DEBIT 917226057962 THEBEERCAFE,Food & Drinks
UPI/P2M/953243769508/ZARA,Shopping
UPI/P2M/462977209987/GIFT,Miscellaneous
POS DEBIT 360482978478 UNIVERSITYFEES,Education
UPI/P2M/664301363413/FLIPKART,Shopping
UPI/P2M/313474408231/JIOMART,Groceries
NEFT CR-903071914727-RENTAL INCOME,Income
NEFT CR-848589433147-RENTAL INCOME,Income
POS DEBIT 407070946468 LOCALGYM,Health & Fitness
UPI/P2M/607587471444/MCDONALDS,Food & Drinks
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
NEFT CR-493610684195-SALARY CREDIT,Income
POS DEBIT 568669292106 RELIANCEDIGITAL,Shopping
UPI/P2M/861702040222/COURSERA,Education
NEFT CR-843538117971-SALARY CREDIT,Income
POS DEBIT 470559027237 CASHWITHDRAWAL,Withdrawals
UPI/P2M/250218087050/UDEMY,Education
UPI/P2M/560066844670/BIGBASKET,Groceries
POS DEBIT 875773058566 CASHWITHDRAWAL,Withdrawals
POS DEBIT 752736066487 CASHWITHDRAWAL,Withdrawals
NEFT CR-688313541045-FREELANCE PAYMENT,Income
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/312602818720/AMAZON,Shopping
UPI/P2M/509284853655/BOOKMYSHOW,Entertainment
UPI/P2M/752881689912/ZARA,Shopping
POS DEBIT 151002102301 MUTUALFUNDSIP,Investments
UPI/P2M/908979141920/MAKEMYTRIP,Travel & Transport
POS DEBIT 363308735103 UNIVERSITYFEES,Education
UPI/P2M/114669120244/UDEMY,Education
POS DEBIT 193680083682 RELIANCEDIGITAL,Shopping
UPI/P2M/629581031682/GIFT,Miscellaneous
POS DEBIT 949100946764 CULTFIT,Health & Fitness
UPI/P2M/810306426377/COURSERA,Education
POS DEBIT 472659647874 PVRCINEMAS,Entertainment
NEFT CR-851524686378-RENTAL INCOME,Income
UPI/P2M/583665454344/MYNTRA,Shopping
POS DEBIT 521026530201 CASHWITHDRAWAL,Withdrawals
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/516707692505/GIFT,Miscellaneous
NEFT CR-996263850021-SALARY CREDIT,Income
UPI/P2M/369800687512/UDEMY,Education
UPI/P2M/701169508585/ZARA,Shopping
UPI/P2M/412148654975/STARBUCKS,Food & Drinks
NEFT CR-622865357764-FREELANCE PAYMENT,Income
UPI/P2M/705841060357/JIOMART,Groceries
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 796779695419 CULTFIT,Health & Fitness
NEFT CR-866093472155-RENTAL INCOME,Income
NEFT CR-631975036265-SALARY CREDIT,Income
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/670896806730/ZEPTO,Groceries
UPI/P2M/235436673718/GOIBIBO,Travel & Transport
UPI/P2M/950026309105/MYNTRA,Shopping
NEFT CR-972026007262-FREELANCE PAYMENT,Income
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 390720283314 BANKCHARGES,Miscellaneous
UPI/P2M/764834929117/UDEMY,Education
POS DEBIT 582484079833 DOMINOSPIZZA,Food & Drinks
UPI/P2M/865567392411/FLIPKART,Shopping
POS DEBIT 539688279065 REDBUS,Travel & Transport
POS DEBIT 437331221138 MUTUALFUNDSIP,Investments
UPI/P2M/797826038338/BIGBASKET,Groceries
UPI/P2M/420561692060/UPSTOX,Investments
UPI/P2M/766696573578/ZEPTO,Groceries
POS DEBIT 940014259962 CASHWITHDRAWAL,Withdrawals
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/457400922146/BIGBASKET,Groceries
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
NEFT CR-265203818481-RENTAL INCOME,Income
UPI/P2M/779260981973/JIOMART,Groceries
POS DEBIT 150678144983 CULTFIT,Health & Fitness
UPI/P2M/873667509037/ZEPTO,Groceries
POS DEBIT 922670496610 BANKCHARGES,Miscellaneous
POS DEBIT 938166132486 OLACABS,Travel & Transport
UPI/P2M/844038588975/NETFLIX.COM,Entertainment
UPI/P2M/830636315467/UDEMY,Education
NEFT CR-556815800253-RENTAL INCOME,Income
NEFT CR-802689434319-RENTAL INCOME,Income
NEFT CR-719303881922-SALARY CREDIT,Income
NEFT CR-574453630210-RENTAL INCOME,Income
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
UPI/P2M/418994691000/MYNTRA,Shopping
UPI/P2M/575141169828/GROWW,Investments
POS DEBIT 952087199210 BANKCHARGES,Miscellaneous
POS DEBIT 137576983879 CASHWITHDRAWAL,Withdrawals
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/746424691282/ZEPTO,Groceries
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 944093825947 CASHWITHDRAWAL,Miscellaneous
POS DEBIT 148013650993 CASHWITHDRAWAL,Withdrawals
UPI/P2M/675097054515/UDEMY,Education
POS DEBIT 888903778197 CASHWITHDRAWAL,Withdrawals
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 960600508345 PRIMEVIDEO,Entertainment
POS DEBIT 608470902988 UNIVERSITYFEES,Education
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
NEFT CR-299260569485-RENTAL INCOME,Income
UPI/P2M/763351507565/BIGBASKET,Groceries
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 619408591620 CULTFIT,Health & Fitness
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/189419211424/MYPROTEIN,Health & Fitness
UPI/P2M/306109069871/ZEPTO,Groceries
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
NEFT CR-323884977870-RENTAL INCOME,Income
UPI/P2M/458695391225/BOOKMYSHOW,Entertainment
POS DEBIT 833933282890 LOCALGYM,Health & Fitness
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 285628289848 CASHWITHDRAWAL,Withdrawals
POS DEBIT 910089546308 APOLLOPHARMACY,Health & Fitness
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/480649741874/ZEPTO,Groceries
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/528017522737/COURSERA,Education
UPI/P2M/119737880373/JIOMART,Groceries
NEFT CR-923346927778-RENTAL INCOME,Income
NEFT CR-590273378820-SALARY CREDIT,Income
POS DEBIT 423070480284 LOCALSUPERMARKET,Groceries
POS DEBIT 115482075687 BANKCHARGES,Miscellaneous
UPI/P2M/124584404415/BIGBASKET,Groceries
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
UPI/P2M/220426547005/JIOMART,Groceries
